2023-05-28T18:25:06.872196100 - Enemy at: x = 320.0, y = 80.0, rot = 0.0ï¿½
2023-05-28T18:25:06.872196100 - Human at: x = 500.0, y = 100.0, rot = 0.0ï¿½
2023-05-28T18:26:34.894077500 - Enemy at: x = 320.0, y = 80.0, rot = 0.0ï¿½
2023-05-28T18:26:34.895083800 - Human at: x = 500.0, y = 100.0, rot = 0.0ï¿½
2023-05-28T18:26:48.065919500 - Enemy at: x = 320.0, y = 80.0, rot = 0.0ï¿½
2023-05-28T18:26:48.066920 - Human at: x = 500.0, y = 100.0, rot = 0.0ï¿½
2023-05-28T18:32:21.447707 - Enemy at: x = 320.0, y = 80.0, rot = 0.0°
2023-05-28T18:32:21.448691200 - Human at: x = 500.0, y = 100.0, rot = 0.0°
2023-05-28T18:32:49.651015300 - Enemy at: x = 320.0, y = 80.0, rot = 0.0°
2023-05-28T18:32:49.652012200 - Human at: x = 500.0, y = 100.0, rot = 0.0°
2023-05-28T18:33:04.228149600 - Enemy at: x = 320.0, y = 80.0, rot = 0.0°
2023-05-28T18:33:04.229147900 - Human at: x = 500.0, y = 100.0, rot = 0.0°
2023-05-28T18:33:38.306917400 - Enemy at: x = 320.0, y = 80.0, rot = 0.0°
2023-05-28T18:33:38.308913200 - Human at: x = 500.0, y = 100.0, rot = 0.0°
2023-05-28T18:33:40.770534700 - Human at: x = 500.0, y = 90.0, rot = 0.0°
2023-05-28T18:33:41.230200900 - Human at: x = 490.0, y = 90.0, rot = 0.0°
2023-05-28T18:33:41.527065400 - Human at: x = 480.0, y = 90.0, rot = 270.0°
2023-05-28T18:41:32.173596200 - Enemy at: x = 320.0, y = 80.0, rot = 0.0°
2023-05-28T18:41:32.174594700 - Human at: x = 500.0, y = 100.0, rot = 0.0°
2023-05-28T18:41:33.794807600 - Human at: x = 500.0, y = 110.0, rot = 0.0°
2023-05-28T18:41:34.211521600 - Human at: x = 500.0, y = 100.0, rot = 180.0°
2023-05-28T18:41:34.587672800 - Human at: x = 500.0, y = 90.0, rot = 0.0°
